#,english,desc_english,japanese,desc_japanese
183,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,ぬめぬめ,直接攻撃を受けると、相手の『すばやさ』ランクを1段階下げる。
184,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,スカイスキン,自分の『ノーマル』タイプの技が『ひこう』タイプになり、さらに威力が1.2倍になる(第6世代は1.3倍)。ダイマックスすると、『ダイジェット』になるが、威力の補正はない。
185,Parental Bond,Parent and child each attacks.,おやこあい,同じ技を1ターンに2回攻撃できる。2回目の攻撃は、威力が0.25倍になる。能力ランクを下げるなどの効果は2回分与えられる。1ターンに連続して攻撃する技や、複数の相手に攻撃する技の場合は2回攻撃できない。(第6世代は2回目威力0.5倍)
186,Dark Aura,Powers up each Pokémon's Dark-type moves.,ダークオーラ,お互いのすべてのポケモンの『あく』タイプの技の威力が4/3倍(1.33倍)になる。
187,Fairy Aura,Powers up each Pokémon's Fairy-type moves.,フェアリーオーラ,お互いのすべてのポケモンの『フェアリー』タイプの技の威力が4/3倍(1.33倍)になる。
188,Aura Break,"The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",オーラブレイク,お互いのポケモンの特性『フェアリーオーラ』『ダークオーラ』の効果において、威力が4/3倍ではなく3/4倍(0.75倍)になる。
189,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.,はじまりのうみ,戦闘に出ている間、天気が『つよいあめ』になる。通常の天気『あめ』状態に加えて、『ほのお』タイプの攻撃技が無効になる。また、技『あまごい』『にほんばれ』『すなあらし』『あられ』が失敗し、特性『あめふらし』『ひでり』『すなおこし』『ゆきふらし』が発動しなくなる。この状態を変更できるのは特性『おわりのだいち』『デルタストリーム』のみ。
190,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.,おわりのだいち,戦闘に出ている間、天気が『ひざしがとてもつよい』になる。通常の天気『にほんばれ』状態に加えて、『みず』タイプの攻撃技が無効になる。また、技『あまごい』『にほんばれ』『すなあらし』『あられ』が失敗し、特性『あめふらし』『ひでり』『すなおこし』『ゆきふらし』が発動しなくなる。この状態を変更できるのは特性『はじまりのうみ』『デルタストリーム』のみ。
191,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.,デルタストリーム,戦闘に出ている間、天気が『らんきりゅう』になる。『ひこう』タイプのポケモンの弱点となるタイプの技のダメージが通常のダメージになる。また、技『あまごい』『にほんばれ』『すなあらし』『あられ』が失敗し、特性『あめふらし』『ひでり』『すなおこし』『ゆきふらし』が発動しなくなる。この状態を変更できるのは特性『はじまりのうみ』『おわりのだいち』のみ。
192,Stamina,Boosts the Defense stat when hit by an attack.,じきゅうりょく,技のダメージを受けると、『ぼうぎょ』ランクが1段階上がる。
193,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.,にげごし,相手の技のダメージで自分の残りHPが半分以下になると、他の手持ちのポケモンと交代する。相手の技のダメージ以外の場合や、すでに残りHPが半分以下の場合は発動しない。なお、野生のポケモンが相手の場合は交代せずに逃げ出す。
194,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less.",ききかいひ,相手の技のダメージで自分の残りHPが半分以下になると、他の手持ちのポケモンと交代する。相手の技のダメージ以外の場合や、すでに残りHPが半分以下の場合は発動しない。なお、野生のポケモンが相手の場合は交代せずに逃げ出す。
195,Water Compaction,Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.,みずがため,『みず』タイプの技を受けると、『ぼうぎょ』ランクが2段階上がる。
196,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,ひとでなし,相手が『どく』『もうどく』状態の時、自分の攻撃が必ず急所に当たる。
197,Shields Down,"When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive.",リミットシールド,自分の残りHPが半分より多い時は防御に特化したフォルムで状態異常にならず、半分以下になると攻撃に特化したフォルムになる。
198,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.,はりこみ,相手がポケモンを交代する時に攻撃すると、交代して出てきたポケモンに2倍のダメージを与える。
199,Water Bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.,すいほう,『みず』タイプの技の威力が2倍になる。また、『ほのお』タイプの技を受けた時、ダメージが半減する。さらに『やけど』状態にならない。
200,Steelworker,Powers up Steel-type moves.,はがねつかい,『はがね』タイプの技の威力が1.5倍になる。
201,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,ぎゃくじょう,相手の技のダメージで自分の残りHPが半分以下になると、『とくこう』ランクが1段階上がる。相手の技のダメージ以外の場合や、すでに残りHPが半分以下の場合は発動しない。
202,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,ゆきかき,天気が『あられ』の時、『すばやさ』が2倍になる。
203,Long Reach,The Pokémon uses its moves without making contact with the target.,えんかく,自分の使う技はすべて直接攻撃ではなくなる。
204,Liquid Voice,All sound-based moves become Water-type moves.,うるおいボイス,自分の音系の技『いびき』『いやしのすず』『いやなおと』『うたう』『うたかたのアリア』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『スケイルノイズ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『とおぼえ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』『ソウルビート』『オーバードライブ』の『タイプ』がすべて『みず』タイプになる。
205,Triage,Gives priority to a healing move.,ヒーリングシフト,自分の使う回復技の優先度が3だけ加算される。優先度0の回復技も優先度+3として『すばやさ』に関係なく先制攻撃できる。対象となる回復技は『こうごうせい』や『ギガドレイン』『ドレインキッス』『フラワーヒール』『ねむる』など技の直接効果で回復する技のみで、『やどりぎのタネ』や『グラスフィールド』など状態変化技や『かふんだんご』には影響しない。
206,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,エレキスキン,自分の『ノーマル』タイプの技が『でんき』タイプになり、さらに威力が1.2倍になる。ダイマックスすると、『ダイサンダー』になるが、威力の補正はない。
207,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,サーフテール,場の状態が『エレキフィールド』の時、『すばやさ』が2倍になる。
208,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.",ぎょぐん,レベル20以上になると、残りHPが最大HPの1/4以上であれば、場に出た時かターン終了時に『むれたすがた』にフォルムチェンジする。残りHPが最大HPの1/4以下になると、ターン終了時に『たんどくのすがた』に戻る。
209,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack.",ばけのかわ,1回だけ相手の技のダメージや『こんらん』状態による自傷ダメージを無効化し、フォルムチェンジする(能力などは変化しない)。その時、第8世代からは最大HPの1/8のダメージを受ける。ダメージ以外の効果や、状態異常、天気や道具、特性によるダメージなどには影響しない。一度フォルムチェンジすると、場から離れてもバトル中は元に戻らない。
210,Battle Bond,"Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",きずなへんげ,自分の技で相手を倒すと、通常の『ゲッコウガ』から『サトシゲッコウガ』にフォルムチェンジする。
211,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.,スワームチェンジ,自分の残りHPが半分以下になると『パーフェクトフォルム』にフォルムチェンジする。
212,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,ふしょく,『どく』『はがね』タイプのポケモンも『どく』『もうどく』状態にできる。
213,Comatose,It's always drowsing and will never wake up. It can attack without waking up.,ぜったいねむり,常に『ねむり』状態で、他の状態異常にならない。『ねむり』状態で技を出せる。
214,Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.",じょおうのいげん,自分と味方は、相手の先制技を受けない。なお、自分が使う先制技や味方から受ける先制技には影響しない。
215,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.,とびだすなかみ,相手の技のダメージによって『ひんし』になった時、その最後の技を受けた時に残っていたHP分のダメージを技を使った相手に与える。
216,Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.",おどりこ,場にいるポケモンが踊り系の技『ちょうのまい』『つるぎのまい』『はなびらのまい』『フェザーダンス』『フラフラダンス』『ほのおのまい』『みかづきのまい』『めざめるダンス』『りゅうのまい』『ソウルビート』を使うと、その直後に同じ技を使える。(自分の選択した技はこの特性とは別にもう一度行動できる)
217,Battery,Powers up ally Pokémon's special moves.,バッテリー,味方のポケモンの特殊技の威力が1.3倍になる。(ダブルバトル用)
218,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",もふもふ,直接攻撃の技を受けた時、ダメージが半減する。また、『ほのお』タイプの技を受けた時、ダメージが2倍になる。
219,Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves.",ビビッドボディ,自分と味方は、相手の先制技を受けない。なお、自分が使う先制技や味方から受ける先制技には影響しない。
220,Soul-Heart,Boosts its Sp. Atk stat every time a Pokémon faints.,ソウルハート,場にいるポケモンが『ひんし』状態になる度に、自分の『とくこう』ランクが1段階上がる。
221,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,カーリーヘアー,直接攻撃を受けると、相手の『すばやさ』ランクを1段階下げる。
222,Receiver,The Pokémon copies the Ability of a defeated ally.,レシーバー,場にいる味方のポケモンが『ひんし』状態になった時、自分の特性がそのポケモンと同じ特性になる。場から離れると元に戻る(ダブルバトル用)。味方の特性が『ARシステム』『イリュージョン』『かがくのちから』『かわりもの』『きずなへんげ』『ぎょぐん』『スワームチェンジ』『ぜったいねむり』『ダルマモード』『てんきや』『トレース』『ばけのかわ』『バトルスイッチ』『ふしぎなまもり』『フラワーギフト』『マルチタイプ』『リミットシールド』『レシーバー』の場合は効果がない。
223,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,かがくのちから,場にいる味方のポケモンが『ひんし』状態になった時、自分の特性がそのポケモンと同じ特性になる。場から離れると元に戻る(ダブルバトル用)。味方の特性が『ARシステム』『イリュージョン』『かがくのちから』『かわりもの』『きずなへんげ』『ぎょぐん』『スワームチェンジ』『ぜったいねむり』『ダルマモード』『てんきや』『トレース』『ばけのかわ』『バトルスイッチ』『ふしぎなまもり』『フラワーギフト』『マルチタイプ』『リミットシールド』『レシーバー』の場合は効果がない。
224,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,ビーストブースト,自分の技で相手を倒すと、自分の最も高い能力の能力ランクが1段階上がる。
225,RKS System,Changes the Pokémon's type to match the memory disc it holds.,ＡＲシステム,持っている専用の道具『メモリ』の種類に対応して自分の『タイプ』が変化する。
226,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.,エレキメイカー,戦闘に出ると5ターンの間、場の状態を『エレキフィールド』にする。(『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、『ねむり』状態にならず、また『でんき』タイプの技の威力が1.3倍になる)
227,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,サイコメイカー,戦闘に出ると5ターンの間、場の状態を『サイコフィールド』にする。(『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、相手(味方は含まない)の先制技を受けなくなり、また『エスパー』タイプの技の威力が1.3倍になる)
228,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.,ミストメイカー,戦闘に出ると5ターンの間、場の状態を『ミストフィールド』にする。(『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、状態異常にならず、また『ドラゴン』タイプの技の受けるダメージが半減する)
229,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,グラスメイカー,戦闘に出ると5ターンの間、場の状態を『グラスフィールド』にする。(『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、毎ターン最大HPの1/16ずつ回復し、また『くさ』タイプの技の威力が1.3倍になり、技『じしん』『じならし』『マグニチュード』の受けるダメージが半減する)
230,Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,メタルプロテクト,相手の能力ランクを下げる技や特性の効果を受けない。また、相手の特性『かたやぶり』の影響を受けない。
231,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.,ファントムガード,自分の残りHPが最大値の時、受けるダメージが半減される。また、相手の特性『かたやぶり』や技『メテオドライブ』『シャドーレイ』の影響を受けない。
232,Prism Armor,Reduces the power of supereffective attacks taken.,プリズムアーマー,タイプ相性が『こうかは ばつぐん』の技の受けるダメージが3/4になる。例えば、本来2倍弱点の場合は1.5倍のダメージに軽減される。また、相手の特性『かたやぶり』や技『メテオドライブ』『シャドーレイ』の影響を受けない。
233,Neuroforce,Powers up moves that are super effective.,ブレインフォース,自分の技のタイプ相性が効果抜群の場合、さらに威力が1.25倍になる。
234,Intrepid Sword,Boosts the Pokémon's Attack stat when the Pokémon enters a battle.,ふとうのけん,戦闘に出たときに自分の『こうげき』ランクが上がる。
235,Dauntless Shield,Boosts the Pokémon's Defense stat when the Pokémon enters a battle.,ふくつのたて,戦闘に出たときに自分の『ぼうぎょ』ランクが上がる。
236,Libero,Changes the Pokémon's type to the type of the move it's about to use.,リベロ,自分の技を出す時、直前のタイミングで自分のタイプが技と同じタイプになる(タイプは変化したままになる)。変化技にも有効。
237,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",たまひろい,道具を持っていない場合、1回目に投げて失敗したボールを手に入れる。
238,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.",わたげ,攻撃を受けると、自分以外のポケモンの『すばやさ』ランクを1段階下げる。
239,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,スクリューおびれ,特性『ひらいしん』『よびみず』や技『いかりのこな』『このゆびとまれ』『サイドチェンジ』『スポットライト』の攻撃対象を変更する効果の影響を受けずに攻撃できる。
240,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives.,ミラーアーマー,『のうりょく』ランクを下げる効果を受けずに、相手に跳ね返す。技の追加効果の場合も含める。
241,Gulp Missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",うのミサイル,自分が技『なみのり』か『ダイビング』を使った時、HPが最大HPの半分以上の時は『うのみのすがた』に、半分以下の時は『まるのみのすがた』にフォルムチェンジする。その後相手から技のダメージを受けた時に、相手にも最大HPの1/4のダメージを与え、さらに『うのみのすがた』では『ぼうぎょ』ランクを1段階下げ、『まるのみのすがた』では『まひ』状態にする。
242,Stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,すじがねいり,特性『ひらいしん』『よびみず』や技『いかりのこな』『このゆびとまれ』『サイドチェンジ』『スポットライト』の攻撃対象を変更する効果の影響を受けずに攻撃できる。
243,Steam Engine,Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.,じょうききかん,『みず』タイプか『ほのお』タイプの技を受けると、自分の『すばやさ』ランクが6段階上がる。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。(必要な歩数が半分になる)
244,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,パンクロック,自分の音系の技『いびき』『うたかたのアリア』『エコーボイス』『さわぐ』『スケイルノイズ』『チャームボイス』『バークアウト』『ハイパーボイス』『ばくおんぱ』『むしのさざめき』『りんしょう』『オーバードライブ』の威力が1.3倍になる。また、自分が受ける音系の技のダメージが半減する。
245,Sand Spit,The Pokémon creates a sandstorm when it's hit by an attack.,すなはき,技のダメージを受けると、5ターンの間、天気が『すなあらし』になる。
246,Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",こおりのりんぷん,特殊攻撃の受けるダメージが半減する。
247,Ripen,Ripens Berries and doubles their effect.,じゅくせい,持っている『きのみ』を使う時、効果が2倍になる。
248,Ice Face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails.",アイスフェイス,『アイスフェイス』のフォルムの時、物理技を受けると、ダメージを受けずに『ナイスフェイス』にフォルムチェンジする。天気が『あられ』になると、再び『アイスフェイス』にフォルムチェンジする。
249,Power Spot,Just being next to the Pokémon powers up moves.,パワースポット,複数のバトルで隣にいる味方が使う技の威力が1.3倍になる。(味方全員か隣だけかは未検証)
250,Mimicry,Changes the Pokémon's type depending on the terrain.,ぎたい,場フィールドの状態にあわせて、自分の『タイプ』が変化する。『エレキフィールド』では『でんき』タイプ、『グラスフィールド』では『くさ』タイプ、『サイコフィールド』では『エスパー』タイプ、『ミストフィールド』では『フェアリー』になる。フィールドが戻ると、タイプも元に戻る。
251,Screen Cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.",バリアフリー,お互いの場の『ひかりのかべ』『リフレクター』『オーロラベール』の効果が無効になる。
252,Steely Spirit,Powers up ally Pokémon's Steel-type moves.,はがねのせいしん,自分と味方の『はがね』タイプの技の威力が1.5倍になる。この特性のポケモンが複数いる場合は、効果が重複する。
253,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",ほろびのボディ,直接攻撃を受けると、3ターン終了後に、お互いのポケモンは『ひんし』状態になる(対象は2匹のみ)。それまでに交代したポケモンは効果が消える。
254,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,さまようたましい,直接攻撃を受けると、自分と相手の特性を入れ替える。
255,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,ごりむちゅう,同じ技しか出せなくなるが、物理技が1.5倍になる(『こうげき』を上げるのかは不明)。ダイマックス中は、すべての効果がない。
256,Neutralizing Gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered.",かがくへんかガス,このポケモンが場にいる限り、すべてのポケモンの特性の効果が無効になり、発動しなくなる。ただし、『バトルスイッチ』『ばけのかわ』などフォルムに関わる特性や、一部の固有の特性などには効かない。
257,Pastel Veil,Protects the Pokémon and its ally Pokémon from being poisoned.,パステルベール,自分と味方は、『どく』『もうどく』状態にならない。
258,Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.",はらぺこスイッチ,ターン終了時、『まんぷくもよう』と『はらぺこもよう』を交互にフォルムチェンジする。技『オーラぐるま』のタイプが、『まんぷく』の時は『でんき』、『はらぺこ』の時は『あく』タイプに変わる。
